,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Exact Core Nodes,Exact Core Edges,Exact Core Out Edges,Outerplanar Core Nodes,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.07,5,0,4579,98026,2693,2083,0.902776,8.622745,0.454903,0.454903
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.08,5,0,4579,98026,2693,1895,0.902776,8.622745,0.413846,0.413846
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.09,5,0,4579,98026,2693,1623,0.902776,8.622745,0.354444,0.354444
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.1,5,0,4579,98026,2693,1366,0.902776,8.622745,0.298318,0.298318
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.15,5,0,4579,98026,2693,252,0.902776,8.622745,0.055034,0.055034
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.01,10,0,4579,98026,2693,3729,0.900744,8.620713,0.81437,0.81437
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.02,10,0,4579,98026,2693,3299,0.900744,8.620713,0.720463,0.720463
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.03,10,0,4579,98026,2693,3049,0.900744,8.620713,0.665866,0.665866
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.04,10,0,4579,98026,2693,2860,0.900744,8.620713,0.624591,0.624591
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.05,10,0,4579,98026,2693,2721,0.900744,8.620713,0.594235,0.594235
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.06,10,0,4579,98026,2693,2570,0.900744,8.620713,0.561258,0.561258
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.07,10,0,4579,98026,2693,2445,0.900744,8.620713,0.533959,0.533959
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.08,10,0,4579,98026,2693,2287,0.900744,8.620713,0.499454,0.499454
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.09,10,0,4579,98026,2693,2161,0.900744,8.620713,0.471937,0.471937
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.1,10,0,4579,98026,2693,2041,0.900744,8.620713,0.445731,0.445731
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.15,10,0,4579,98026,2693,1065,0.900744,8.620713,0.232584,0.232584
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.01,100,0,4579,98026,2693,3858,1.503053,9.223022,0.842542,0.842542
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.02,100,0,4579,98026,2693,3495,1.503053,9.223022,0.763267,0.763267
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.03,100,0,4579,98026,2693,3295,1.503053,9.223022,0.719589,0.719589
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.04,100,0,4579,98026,2693,3149,1.503053,9.223022,0.687705,0.687705
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.05,100,0,4579,98026,2693,3027,1.503053,9.223022,0.661061,0.661061
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.06,100,0,4579,98026,2693,2918,1.503053,9.223022,0.637257,0.637257
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.07,100,0,4579,98026,2693,2832,1.503053,9.223022,0.618476,0.618476
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.08,100,0,4579,98026,2693,2763,1.503053,9.223022,0.603407,0.603407
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.09,100,0,4579,98026,2693,2679,1.503053,9.223022,0.585062,0.585062
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.1,100,0,4579,98026,2693,2608,1.503053,9.223022,0.569557,0.569557
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.15,100,0,4579,98026,2693,2250,1.503053,9.223022,0.491374,0.491374
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.01,500,0,4579,98026,2693,4094,2.980625,10.700594,0.893645,0.893255
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.02,500,0,4579,98026,2693,3814,2.980625,10.700594,0.832496,0.832133
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.03,500,0,4579,98026,2693,3633,2.980625,10.700594,0.792968,0.792622
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.04,500,0,4579,98026,2693,3506,2.980625,10.700594,0.765233,0.764898
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.05,500,0,4579,98026,2693,3401,2.980625,10.700594,0.742302,0.741978
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.06,500,0,4579,98026,2693,3317,2.980625,10.700594,0.723957,0.723641
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.07,500,0,4579,98026,2693,3238,2.980625,10.700594,0.706705,0.706396
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.08,500,0,4579,98026,2693,3162,2.980625,10.700594,0.690107,0.689806
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.09,500,0,4579,98026,2693,3101,2.980625,10.700594,0.676785,0.67649
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.1,500,0,4579,98026,2693,3043,2.980625,10.700594,0.664119,0.663829
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.15,500,0,4579,98026,2693,2814,2.980625,10.700594,0.614108,0.61384
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.01,1000,0,4579,98026,2693,4224,4.04508,11.765049,0.920943,0.919538
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.02,1000,0,4579,98026,2693,3974,4.04508,11.765049,0.866346,0.865024
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.03,1000,0,4579,98026,2693,3813,4.04508,11.765049,0.831186,0.829917
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.04,1000,0,4579,98026,2693,3682,4.04508,11.765049,0.802577,0.801352
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.05,1000,0,4579,98026,2693,3583,4.04508,11.765049,0.780957,0.779765
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.06,1000,0,4579,98026,2693,3499,4.04508,11.765049,0.762612,0.761448
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.07,1000,0,4579,98026,2693,3419,4.04508,11.765049,0.745141,0.744003
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.08,1000,0,4579,98026,2693,3364,4.04508,11.765049,0.73313,0.73201
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.09,1000,0,4579,98026,2693,3302,4.04508,11.765049,0.719589,0.718491
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.1,1000,0,4579,98026,2693,3240,4.04508,11.765049,0.706049,0.704972
,Wiki-Vote_component,7066,100736,0.002018,4579,130,0.15,1000,0,4579,98026,2693,3007,4.04508,11.765049,0.655165,0.654165
,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Exact Core Nodes,Exact Core Edges,Exact Core Out Edges,Outerplanar Core Nodes,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.01,5,0,4825,63548,39994,5025,2.38457,17.166718,0.971606,0.908175
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.02,5,0,4825,63548,39994,4723,2.38457,17.166718,0.946736,0.917269
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.03,5,0,4825,63548,39994,4528,2.38457,17.166718,0.917927,0.899472
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.04,5,0,4825,63548,39994,4371,2.38457,17.166718,0.890777,0.877501
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.05,5,0,4825,63548,39994,4219,2.38457,17.166718,0.863627,0.854419
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.06,5,0,4825,63548,39994,4071,2.38457,17.166718,0.834611,0.827069
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.07,5,0,4825,63548,39994,3916,2.38457,17.166718,0.804767,0.7993
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.08,5,0,4825,63548,39994,3759,2.38457,17.166718,0.773057,0.768438
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.09,5,0,4825,63548,39994,3626,2.38457,17.166718,0.746114,0.742115
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.1,5,0,4825,63548,39994,3514,2.38457,17.166718,0.723731,0.720446
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.15,5,0,4825,63548,39994,2884,2.38457,17.166718,0.595648,0.594416
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.01,10,0,4825,63548,39994,5163,2.520537,17.302685,0.981554,0.901752
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.02,10,0,4825,63548,39994,4862,2.520537,17.302685,0.96228,0.9205
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.03,10,0,4825,63548,39994,4680,2.520537,17.302685,0.941969,0.916331
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.04,10,0,4825,63548,39994,4542,2.520537,17.302685,0.922073,0.904636
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.05,10,0,4825,63548,39994,4428,2.520537,17.302685,0.903627,0.891069
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.06,10,0,4825,63548,39994,4326,2.520537,17.302685,0.884767,0.874437
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.07,10,0,4825,63548,39994,4214,2.520537,17.302685,0.863834,0.855676
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.08,10,0,4825,63548,39994,4102,2.520537,17.302685,0.841451,0.834189
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.09,10,0,4825,63548,39994,3980,2.520537,17.302685,0.817202,0.810983
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.1,10,0,4825,63548,39994,3856,2.520537,17.302685,0.792539,0.787317
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.15,10,0,4825,63548,39994,3369,2.520537,17.302685,0.694922,0.692625
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.01,100,0,4825,63548,39994,5292,3.105703,17.887851,0.987979,0.891028
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.02,100,0,4825,63548,39994,4970,3.105703,17.887851,0.973886,0.922096
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.03,100,0,4825,63548,39994,4804,3.105703,17.887851,0.960415,0.927728
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.04,100,0,4825,63548,39994,4681,3.105703,17.887851,0.945699,0.923124
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.05,100,0,4825,63548,39994,4578,3.105703,17.887851,0.929948,0.912734
,CA-HepPh_component,11204,117649,0.000937,4825,184,0.06,100,0,4825,63548,39994,4490,3.105703,17.887851,0.917098,0.904908
